State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Andhra Pradesh,KRISHNA,Jowar,2016,Rabi       ,508,1749,3.44
Andhra Pradesh,KRISHNA,Jowar,2017,Kharif     ,16,16,1
Andhra Pradesh,KRISHNA,Jowar,2017,Rabi       ,1335,5674,4.25
Andhra Pradesh,KRISHNA,Jowar,2018,Rabi       ,263,722,2.75
Andhra Pradesh,KRISHNA,Jowar,2019,Kharif     ,28,33,1.18
Andhra Pradesh,KRISHNA,Jowar,2019,Rabi       ,395,1959,4.96
Andhra Pradesh,KURNOOL,Jowar,1997,Kharif     ,9600,10400,1.08
Andhra Pradesh,KURNOOL,Jowar,1997,Rabi       ,113800,107200,0.94
Andhra Pradesh,KURNOOL,Jowar,1998,Kharif     ,9400,9100,0.97
Andhra Pradesh,KURNOOL,Jowar,1998,Rabi       ,90200,96300,1.07
Andhra Pradesh,KURNOOL,Jowar,1999,Kharif     ,12603,7952,0.63
Andhra Pradesh,KURNOOL,Jowar,1999,Rabi       ,105751,99194,0.94
Andhra Pradesh,KURNOOL,Jowar,2000,Kharif     ,7662,11953,1.56
Andhra Pradesh,KURNOOL,Jowar,2000,Rabi       ,86644,105792,1.22
Andhra Pradesh,KURNOOL,Jowar,2001,Kharif     ,6577,6939,1.06
Andhra Pradesh,KURNOOL,Jowar,2001,Rabi       ,86436,131901,1.53
Andhra Pradesh,KURNOOL,Jowar,2002,Kharif     ,2112,2063,0.98
Andhra Pradesh,KURNOOL,Jowar,2002,Rabi       ,100721,135067,1.34
Andhra Pradesh,KURNOOL,Jowar,2003,Kharif     ,13685,62280,4.55
Andhra Pradesh,KURNOOL,Jowar,2003,Rabi       ,104115,139618,1.34
Andhra Pradesh,KURNOOL,Jowar,2004,Kharif     ,16448,64871,3.94
Andhra Pradesh,KURNOOL,Jowar,2004,Rabi       ,86637,139745,1.61
Andhra Pradesh,KURNOOL,Jowar,2005,Kharif     ,20905,87801,4.2
Andhra Pradesh,KURNOOL,Jowar,2005,Rabi       ,73299,140514,1.92
Andhra Pradesh,KURNOOL,Jowar,2006,Kharif     ,4905,9839,2.01
Andhra Pradesh,KURNOOL,Jowar,2006,Rabi       ,68331,102838,1.5
Andhra Pradesh,KURNOOL,Jowar,2007,Kharif     ,5000,17000,3.4
Andhra Pradesh,KURNOOL,Jowar,2007,Rabi       ,63000,135000,2.14
Andhra Pradesh,KURNOOL,Jowar,2008,Kharif     ,10834,32329,2.98
Andhra Pradesh,KURNOOL,Jowar,2008,Rabi       ,55426,134186,2.42
Andhra Pradesh,KURNOOL,Jowar,2009,Kharif     ,12262,31943,2.61
Andhra Pradesh,KURNOOL,Jowar,2009,Rabi       ,59444,97072,1.63
Andhra Pradesh,KURNOOL,Jowar,2010,Kharif     ,1555,5057,3.25
Andhra Pradesh,KURNOOL,Jowar,2010,Rabi       ,54101,98410,1.82
Andhra Pradesh,KURNOOL,Jowar,2011,Kharif     ,14115,46368,3.29
Andhra Pradesh,KURNOOL,Jowar,2011,Rabi       ,70555,128692,1.82
Andhra Pradesh,KURNOOL,Jowar,2012,Kharif     ,15000,53000,3.53
Andhra Pradesh,KURNOOL,Jowar,2012,Rabi       ,67000,115000,1.72
Andhra Pradesh,KURNOOL,Jowar,2013,Kharif     ,10958,32808,2.99
Andhra Pradesh,KURNOOL,Jowar,2013,Rabi       ,49305,90721,1.84
Andhra Pradesh,KURNOOL,Jowar,2014,Kharif     ,17060,41951,2.46
Andhra Pradesh,KURNOOL,Jowar,2014,Rabi       ,50107,94001,1.88
Andhra Pradesh,KURNOOL,Jowar,2015,Kharif     ,13518,25644,1.9
Andhra Pradesh,KURNOOL,Jowar,2015,Rabi       ,73859,141292,1.91
Andhra Pradesh,KURNOOL,Jowar,2016,Kharif     ,6869,16300,2.37
Andhra Pradesh,KURNOOL,Jowar,2016,Rabi       ,46921,74229,1.58
Andhra Pradesh,KURNOOL,Jowar,2017,Kharif     ,5940,14113,2.38
Andhra Pradesh,KURNOOL,Jowar,2017,Rabi       ,47424,83988,1.77
Andhra Pradesh,KURNOOL,Jowar,2018,Kharif     ,742,336,0.45
Andhra Pradesh,KURNOOL,Jowar,2018,Rabi       ,63673,59916,0.94
Andhra Pradesh,KURNOOL,Jowar,2019,Kharif     ,7961,14330,1.8
Andhra Pradesh,KURNOOL,Jowar,2019,Rabi       ,47460,80160,1.69
Andhra Pradesh,MAHBUBNAGAR,Jowar,1997,Kharif     ,97200,59200,0.61
Andhra Pradesh,MAHBUBNAGAR,Jowar,1997,Rabi       ,61000,20000,0.33
Andhra Pradesh,MAHBUBNAGAR,Jowar,1998,Kharif     ,129800,77700,0.6
Andhra Pradesh,MAHBUBNAGAR,Jowar,1998,Rabi       ,43000,23800,0.55
Andhra Pradesh,MAHBUBNAGAR,Jowar,1999,Kharif     ,109562,58506,0.53
Andhra Pradesh,MAHBUBNAGAR,Jowar,1999,Rabi       ,56226,33061,0.59
Andhra Pradesh,MAHBUBNAGAR,Jowar,2000,Kharif     ,127417,96837,0.76
Andhra Pradesh,MAHBUBNAGAR,Jowar,2000,Rabi       ,50338,35237,0.7
Andhra Pradesh,MAHBUBNAGAR,Jowar,2001,Kharif     ,127781,90597,0.71
Andhra Pradesh,MAHBUBNAGAR,Jowar,2001,Rabi       ,45284,28076,0.62
Andhra Pradesh,MAHBUBNAGAR,Jowar,2002,Kharif     ,107386,98903,0.92
Andhra Pradesh,MAHBUBNAGAR,Jowar,2002,Rabi       ,38754,33406,0.86
Andhra Pradesh,MAHBUBNAGAR,Jowar,2003,Kharif     ,95272,72311,0.76
Andhra Pradesh,MAHBUBNAGAR,Jowar,2003,Rabi       ,32322,19458,0.6
Andhra Pradesh,MAHBUBNAGAR,Jowar,2004,Kharif     ,69920,31324,0.45
Andhra Pradesh,MAHBUBNAGAR,Jowar,2004,Rabi       ,25861,15568,0.6
Andhra Pradesh,MAHBUBNAGAR,Jowar,2005,Kharif     ,63340,61503,0.97
Andhra Pradesh,MAHBUBNAGAR,Jowar,2005,Rabi       ,25912,21351,0.82
Andhra Pradesh,MAHBUBNAGAR,Jowar,2006,Kharif     ,58109,47359,0.82
Andhra Pradesh,MAHBUBNAGAR,Jowar,2006,Rabi       ,23016,16065,0.7
Andhra Pradesh,MAHBUBNAGAR,Jowar,2007,Kharif     ,52000,51000,0.98
Andhra Pradesh,MAHBUBNAGAR,Jowar,2007,Rabi       ,16000,15000,0.94
Andhra Pradesh,MAHBUBNAGAR,Jowar,2008,Kharif     ,38423,34004,0.88
Andhra Pradesh,MAHBUBNAGAR,Jowar,2008,Rabi       ,10612,9413,0.89
Andhra Pradesh,MAHBUBNAGAR,Jowar,2009,Kharif     ,49842,27363,0.55
Andhra Pradesh,MAHBUBNAGAR,Jowar,2009,Rabi       ,14032,11871,0.85
Andhra Pradesh,MAHBUBNAGAR,Jowar,2010,Kharif     ,36978,32282,0.87
Andhra Pradesh,MAHBUBNAGAR,Jowar,2010,Rabi       ,8515,7025,0.83
Andhra Pradesh,MAHBUBNAGAR,Jowar,2011,Kharif     ,26688,22284,0.83
Andhra Pradesh,MAHBUBNAGAR,Jowar,2011,Rabi       ,12692,6409,0.5
Andhra Pradesh,MAHBUBNAGAR,Jowar,2012,Kharif     ,28000,34000,1.21
Andhra Pradesh,MAHBUBNAGAR,Jowar,2012,Rabi       ,9000,9000,1
Andhra Pradesh,MEDAK,Jowar,1997,Kharif     ,44100,30200,0.68
Andhra Pradesh,MEDAK,Jowar,1997,Rabi       ,55600,20800,0.37
Andhra Pradesh,MEDAK,Jowar,1998,Kharif     ,54800,35900,0.66
Andhra Pradesh,MEDAK,Jowar,1998,Rabi       ,46600,29400,0.63
Andhra Pradesh,MEDAK,Jowar,1999,Kharif     ,47644,31636,0.66
Andhra Pradesh,MEDAK,Jowar,1999,Rabi       ,43231,25204,0.58
Andhra Pradesh,MEDAK,Jowar,2000,Kharif     ,49947,48299,0.97
Andhra Pradesh,MEDAK,Jowar,2000,Rabi       ,38215,23846,0.62
Andhra Pradesh,MEDAK,Jowar,2001,Kharif     ,45857,50626,1.1
Andhra Pradesh,MEDAK,Jowar,2001,Rabi       ,37449,28124,0.75
Andhra Pradesh,MEDAK,Jowar,2002,Kharif     ,39541,33096,0.84
Andhra Pradesh,MEDAK,Jowar,2002,Rabi       ,43035,44844,1.04
Andhra Pradesh,MEDAK,Jowar,2003,Kharif     ,36256,29730,0.82
Andhra Pradesh,MEDAK,Jowar,2003,Rabi       ,35786,27806,0.78
Andhra Pradesh,MEDAK,Jowar,2004,Kharif     ,28800,27475,0.95
Andhra Pradesh,MEDAK,Jowar,2004,Rabi       ,30492,25400,0.83
Andhra Pradesh,MEDAK,Jowar,2005,Kharif     ,27940,40513,1.45
Andhra Pradesh,MEDAK,Jowar,2005,Rabi       ,25949,23406,0.9
Andhra Pradesh,MEDAK,Jowar,2006,Kharif     ,26530,22948,0.86
Andhra Pradesh,MEDAK,Jowar,2006,Rabi       ,22256,20743,0.93
Andhra Pradesh,MEDAK,Jowar,2007,Kharif     ,26000,35000,1.35
Andhra Pradesh,MEDAK,Jowar,2007,Rabi       ,19000,20000,1.05
Andhra Pradesh,MEDAK,Jowar,2008,Kharif     ,22629,26363,1.17
Andhra Pradesh,MEDAK,Jowar,2008,Rabi       ,15895,14035,0.88
Andhra Pradesh,MEDAK,Jowar,2009,Kharif     ,19329,11230,0.58
Andhra Pradesh,MEDAK,Jowar,2009,Rabi       ,17432,21511,1.23
Andhra Pradesh,MEDAK,Jowar,2010,Kharif     ,21232,24162,1.14
Andhra Pradesh,MEDAK,Jowar,2010,Rabi       ,16025,17531,1.09
Andhra Pradesh,MEDAK,Jowar,2011,Kharif     ,15748,23433,1.49
Andhra Pradesh,MEDAK,Jowar,2011,Rabi       ,13021,15156,1.16
Andhra Pradesh,MEDAK,Jowar,2012,Kharif     ,13000,16000,1.23
Andhra Pradesh,MEDAK,Jowar,2012,Rabi       ,12000,12000,1
Andhra Pradesh,NALGONDA,Jowar,1997,Kharif     ,13100,3900,0.3
Andhra Pradesh,NALGONDA,Jowar,1997,Rabi       ,18700,7100,0.38
Andhra Pradesh,NALGONDA,Jowar,1998,Kharif     ,13600,5900,0.43
Andhra Pradesh,NALGONDA,Jowar,1998,Rabi       ,16200,6300,0.39
Andhra Pradesh,NALGONDA,Jowar,1999,Kharif     ,12593,6435,0.51
Andhra Pradesh,NALGONDA,Jowar,1999,Rabi       ,10027,2597,0.26
Andhra Pradesh,NALGONDA,Jowar,2000,Kharif     ,11924,6677,0.56
Andhra Pradesh,NALGONDA,Jowar,2000,Rabi       ,6788,1568,0.23
Andhra Pradesh,NALGONDA,Jowar,2001,Kharif     ,8262,2809,0.34
Andhra Pradesh,NALGONDA,Jowar,2001,Rabi       ,9132,5927,0.65
Andhra Pradesh,NALGONDA,Jowar,2002,Kharif     ,14531,3575,0.25
Andhra Pradesh,NALGONDA,Jowar,2002,Rabi       ,13477,5364,0.4
Andhra Pradesh,NALGONDA,Jowar,2003,Kharif     ,13740,6966,0.51
Andhra Pradesh,NALGONDA,Jowar,2003,Rabi       ,14997,10423,0.7
Andhra Pradesh,NALGONDA,Jowar,2004,Kharif     ,9926,2134,0.21
Andhra Pradesh,NALGONDA,Jowar,2004,Rabi       ,11153,5599,0.5
Andhra Pradesh,NALGONDA,Jowar,2005,Kharif     ,5649,2542,0.45
Andhra Pradesh,NALGONDA,Jowar,2005,Rabi       ,9385,5415,0.58
Andhra Pradesh,NALGONDA,Jowar,2006,Kharif     ,2756,672,0.24
Andhra Pradesh,NALGONDA,Jowar,2006,Rabi       ,10770,6214,0.58
Andhra Pradesh,NALGONDA,Jowar,2007,Kharif     ,3000,2000,0.67
Andhra Pradesh,NALGONDA,Jowar,2007,Rabi       ,9000,4000,0.44
Andhra Pradesh,NALGONDA,Jowar,2008,Kharif     ,1730,1176,0.68
Andhra Pradesh,NALGONDA,Jowar,2008,Rabi       ,4330,1684,0.39
Andhra Pradesh,NALGONDA,Jowar,2009,Kharif     ,3885,2475,0.64
Andhra Pradesh,NALGONDA,Jowar,2009,Rabi       ,8743,5858,0.67
Andhra Pradesh,NALGONDA,Jowar,2010,Kharif     ,3115,2227,0.71
Andhra Pradesh,NALGONDA,Jowar,2010,Rabi       ,3388,2294,0.68
Andhra Pradesh,NALGONDA,Jowar,2011,Kharif     ,2164,2560,1.18
Andhra Pradesh,NALGONDA,Jowar,2011,Rabi       ,543,394,0.73
Andhra Pradesh,NALGONDA,Jowar,2012,Kharif     ,3000,2000,0.67
Andhra Pradesh,NALGONDA,Jowar,2012,Rabi       ,2000,1000,0.5
Andhra Pradesh,NIZAMABAD,Jowar,1997,Kharif     ,3800,2300,0.61
Andhra Pradesh,NIZAMABAD,Jowar,1997,Rabi       ,24800,15700,0.63
Andhra Pradesh,NIZAMABAD,Jowar,1998,Kharif     ,3400,2000,0.59
Andhra Pradesh,NIZAMABAD,Jowar,1998,Rabi       ,22700,17600,0.78
Andhra Pradesh,NIZAMABAD,Jowar,1999,Kharif     ,3519,5697,1.62
Andhra Pradesh,NIZAMABAD,Jowar,1999,Rabi       ,23448,33155,1.41
Andhra Pradesh,NIZAMABAD,Jowar,2000,Kharif     ,3748,3812,1.02
Andhra Pradesh,NIZAMABAD,Jowar,2000,Rabi       ,22924,27532,1.2
Andhra Pradesh,NIZAMABAD,Jowar,2001,Kharif     ,3594,2696,0.75
Andhra Pradesh,NIZAMABAD,Jowar,2001,Rabi       ,22484,31275,1.39
Andhra Pradesh,NIZAMABAD,Jowar,2002,Kharif     ,3354,2573,0.77
Andhra Pradesh,NIZAMABAD,Jowar,2002,Rabi       ,24024,43147,1.8
Andhra Pradesh,NIZAMABAD,Jowar,2003,Kharif     ,2731,2502,0.92
Andhra Pradesh,NIZAMABAD,Jowar,2003,Rabi       ,20010,31996,1.6
Andhra Pradesh,NIZAMABAD,Jowar,2004,Kharif     ,2057,1530,0.74
Andhra Pradesh,NIZAMABAD,Jowar,2004,Rabi       ,23368,20564,0.88
Andhra Pradesh,NIZAMABAD,Jowar,2005,Kharif     ,2204,1386,0.63
Andhra Pradesh,NIZAMABAD,Jowar,2005,Rabi       ,17915,18399,1.03
Andhra Pradesh,NIZAMABAD,Jowar,2006,Kharif     ,1599,1799,1.13
Andhra Pradesh,NIZAMABAD,Jowar,2006,Rabi       ,9869,6701,0.68
Andhra Pradesh,NIZAMABAD,Jowar,2007,Kharif     ,2000,2000,1
Andhra Pradesh,NIZAMABAD,Jowar,2007,Rabi       ,8000,11000,1.38
Andhra Pradesh,NIZAMABAD,Jowar,2008,Kharif     ,1017,1087,1.07
Andhra Pradesh,NIZAMABAD,Jowar,2008,Rabi       ,4944,5972,1.21
Andhra Pradesh,NIZAMABAD,Jowar,2009,Kharif     ,1474,1290,0.88
Andhra Pradesh,NIZAMABAD,Jowar,2009,Rabi       ,8673,8578,0.99
Andhra Pradesh,NIZAMABAD,Jowar,2010,Kharif     ,1583,2982,1.88
Andhra Pradesh,NIZAMABAD,Jowar,2010,Rabi       ,6663,5644,0.85
Andhra Pradesh,NIZAMABAD,Jowar,2011,Kharif     ,1144,1036,0.91
Andhra Pradesh,NIZAMABAD,Jowar,2011,Rabi       ,6723,12780,1.9
Andhra Pradesh,NIZAMABAD,Jowar,2012,Kharif     ,1000,1000,1
Andhra Pradesh,NIZAMABAD,Jowar,2012,Rabi       ,5000,5000,1
Andhra Pradesh,PRAKASAM,Jowar,1997,Kharif     ,3700,2100,0.57
Andhra Pradesh,PRAKASAM,Jowar,1997,Rabi       ,4200,8100,1.93
Andhra Pradesh,PRAKASAM,Jowar,1998,Kharif     ,2400,700,0.29
Andhra Pradesh,PRAKASAM,Jowar,1998,Rabi       ,3100,4100,1.32
Andhra Pradesh,PRAKASAM,Jowar,1999,Kharif     ,2485,634,0.26
Andhra Pradesh,PRAKASAM,Jowar,1999,Rabi       ,6006,2306,0.38
Andhra Pradesh,PRAKASAM,Jowar,2000,Kharif     ,2992,1110,0.37
Andhra Pradesh,PRAKASAM,Jowar,2000,Rabi       ,6206,4996,0.81
Andhra Pradesh,PRAKASAM,Jowar,2001,Kharif     ,1570,898,0.57
Andhra Pradesh,PRAKASAM,Jowar,2001,Rabi       ,3490,2576,0.74
Andhra Pradesh,PRAKASAM,Jowar,2002,Kharif     ,792,264,0.33
Andhra Pradesh,PRAKASAM,Jowar,2002,Rabi       ,8739,7009,0.8
Andhra Pradesh,PRAKASAM,Jowar,2003,Kharif     ,2293,6783,2.96
Andhra Pradesh,PRAKASAM,Jowar,2003,Rabi       ,9566,17965,1.88
Andhra Pradesh,PRAKASAM,Jowar,2004,Kharif     ,2063,1104,0.54
Andhra Pradesh,PRAKASAM,Jowar,2004,Rabi       ,5047,4280,0.85
Andhra Pradesh,PRAKASAM,Jowar,2005,Kharif     ,722,401,0.56
Andhra Pradesh,PRAKASAM,Jowar,2005,Rabi       ,2919,2855,0.98
Andhra Pradesh,PRAKASAM,Jowar,2006,Kharif     ,619,460,0.74
Andhra Pradesh,PRAKASAM,Jowar,2006,Rabi       ,2326,2410,1.04
Andhra Pradesh,PRAKASAM,Jowar,2007,Kharif     ,2000,3000,1.5
Andhra Pradesh,PRAKASAM,Jowar,2007,Rabi       ,2000,2000,1
Andhra Pradesh,PRAKASAM,Jowar,2008,Kharif     ,401,1025,2.56
Andhra Pradesh,PRAKASAM,Jowar,2008,Rabi       ,4843,11328,2.34
Andhra Pradesh,PRAKASAM,Jowar,2009,Kharif     ,408,481,1.18
Andhra Pradesh,PRAKASAM,Jowar,2009,Rabi       ,7104,16460,2.32
Andhra Pradesh,PRAKASAM,Jowar,2010,Kharif     ,124,179,1.44
Andhra Pradesh,PRAKASAM,Jowar,2010,Rabi       ,3803,6199,1.63
Andhra Pradesh,PRAKASAM,Jowar,2011,Kharif     ,66,142,2.15
Andhra Pradesh,PRAKASAM,Jowar,2011,Rabi       ,10975,23146,2.11
Andhra Pradesh,PRAKASAM,Jowar,2012,Rabi       ,20000,39000,1.95
Andhra Pradesh,PRAKASAM,Jowar,2013,Kharif     ,477,833,1.75
Andhra Pradesh,PRAKASAM,Jowar,2013,Rabi       ,7842,16649,2.12
Andhra Pradesh,PRAKASAM,Jowar,2014,Kharif     ,12,18,1.5
Andhra Pradesh,PRAKASAM,Jowar,2014,Rabi       ,12887,19627,1.52
Andhra Pradesh,PRAKASAM,Jowar,2015,Kharif     ,66,73,1.11
Andhra Pradesh,PRAKASAM,Jowar,2015,Rabi       ,12522,27361,2.19
Andhra Pradesh,PRAKASAM,Jowar,2016,Kharif     ,208,299,1.44
Andhra Pradesh,PRAKASAM,Jowar,2016,Rabi       ,10786,8381,0.78
Andhra Pradesh,PRAKASAM,Jowar,2017,Kharif     ,610,621,1.02
Andhra Pradesh,PRAKASAM,Jowar,2017,Rabi       ,11615,6946,0.6
Andhra Pradesh,PRAKASAM,Jowar,2018,Kharif     ,375,49,0.13
Andhra Pradesh,PRAKASAM,Jowar,2018,Rabi       ,20714,3231,0.16
Andhra Pradesh,PRAKASAM,Jowar,2019,Kharif     ,311,464,1.49
Andhra Pradesh,PRAKASAM,Jowar,2019,Rabi       ,7505,5951,0.79
Andhra Pradesh,RANGAREDDI,Jowar,1997,Kharif     ,50500,62900,1.25
Andhra Pradesh,RANGAREDDI,Jowar,1997,Rabi       ,23400,15000,0.64
Andhra Pradesh,RANGAREDDI,Jowar,1998,Kharif     ,67800,35700,0.53
Andhra Pradesh,RANGAREDDI,Jowar,1998,Rabi       ,20000,7300,0.37
Andhra Pradesh,RANGAREDDI,Jowar,1999,Kharif     ,60145,47635,0.79
Andhra Pradesh,RANGAREDDI,Jowar,1999,Rabi       ,16894,4105,0.24
Andhra Pradesh,RANGAREDDI,Jowar,2000,Kharif     ,58021,50246,0.87
Andhra Pradesh,RANGAREDDI,Jowar,2000,Rabi       ,16843,13154,0.78
Andhra Pradesh,RANGAREDDI,Jowar,2001,Kharif     ,51182,52769,1.03
Andhra Pradesh,RANGAREDDI,Jowar,2001,Rabi       ,18519,20223,1.09
Andhra Pradesh,RANGAREDDI,Jowar,2002,Kharif     ,44342,46249,1.04
Andhra Pradesh,RANGAREDDI,Jowar,2002,Rabi       ,16922,16770,0.99
Andhra Pradesh,RANGAREDDI,Jowar,2003,Kharif     ,38982,41126,1.05
Andhra Pradesh,RANGAREDDI,Jowar,2003,Rabi       ,18111,17006,0.94
Andhra Pradesh,RANGAREDDI,Jowar,2004,Kharif     ,28265,40702,1.44
Andhra Pradesh,RANGAREDDI,Jowar,2004,Rabi       ,16547,15802,0.95
Andhra Pradesh,RANGAREDDI,Jowar,2005,Kharif     ,24119,26000,1.08
Andhra Pradesh,RANGAREDDI,Jowar,2005,Rabi       ,15731,19915,1.27
Andhra Pradesh,RANGAREDDI,Jowar,2006,Kharif     ,21160,33602,1.59
Andhra Pradesh,RANGAREDDI,Jowar,2006,Rabi       ,14784,14252,0.96
Andhra Pradesh,RANGAREDDI,Jowar,2007,Kharif     ,21000,29000,1.38
Andhra Pradesh,RANGAREDDI,Jowar,2007,Rabi       ,11000,15000,1.36
Andhra Pradesh,RANGAREDDI,Jowar,2008,Kharif     ,16578,23590,1.42
Andhra Pradesh,RANGAREDDI,Jowar,2008,Rabi       ,7036,15170,2.16
Andhra Pradesh,RANGAREDDI,Jowar,2009,Kharif     ,16228,13940,0.86
Andhra Pradesh,RANGAREDDI,Jowar,2009,Rabi       ,5672,6262,1.1
Andhra Pradesh,RANGAREDDI,Jowar,2010,Kharif     ,16147,12062,0.75
Andhra Pradesh,RANGAREDDI,Jowar,2010,Rabi       ,4371,2631,0.6
Andhra Pradesh,RANGAREDDI,Jowar,2011,Kharif     ,11671,11087,0.95
Andhra Pradesh,RANGAREDDI,Jowar,2011,Rabi       ,5152,3107,0.6
Andhra Pradesh,RANGAREDDI,Jowar,2012,Kharif     ,12000,12000,1
Andhra Pradesh,RANGAREDDI,Jowar,2012,Rabi       ,4000,3000,0.75
Andhra Pradesh,SPSR NELLORE,Jowar,1997,Rabi       ,300,200,0.67
Andhra Pradesh,SPSR NELLORE,Jowar,1998,Rabi       ,200,100,0.5
Andhra Pradesh,SPSR NELLORE,Jowar,1999,Rabi       ,529,294,0.56
Andhra Pradesh,SPSR NELLORE,Jowar,2000,Kharif     ,20,7,0.35
Andhra Pradesh,SPSR NELLORE,Jowar,2000,Rabi       ,1190,1484,1.25
Andhra Pradesh,SPSR NELLORE,Jowar,2001,Rabi       ,162,120,0.74
Andhra Pradesh,SPSR NELLORE,Jowar,2002,Kharif     ,10,3,0.3
Andhra Pradesh,SPSR NELLORE,Jowar,2002,Rabi       ,283,227,0.8
Andhra Pradesh,SPSR NELLORE,Jowar,2003,Kharif     ,3,9,3
Andhra Pradesh,SPSR NELLORE,Jowar,2003,Rabi       ,104,195,1.88
Andhra Pradesh,SPSR NELLORE,Jowar,2004,Kharif     ,18,10,0.56
Andhra Pradesh,SPSR NELLORE,Jowar,2004,Rabi       ,160,300,1.88
Andhra Pradesh,SPSR NELLORE,Jowar,2005,Kharif     ,9,5,0.56
Andhra Pradesh,SPSR NELLORE,Jowar,2005,Rabi       ,49,143,2.92
Andhra Pradesh,SPSR NELLORE,Jowar,2006,Kharif     ,5,4,0.8
Andhra Pradesh,SPSR NELLORE,Jowar,2006,Rabi       ,125,270,2.16
Andhra Pradesh,SPSR NELLORE,Jowar,2008,Kharif     ,8,20,2.5
Andhra Pradesh,SPSR NELLORE,Jowar,2008,Rabi       ,42,198,4.71
Andhra Pradesh,SPSR NELLORE,Jowar,2009,Rabi       ,27,94,3.48
Andhra Pradesh,SPSR NELLORE,Jowar,2010,Rabi       ,16,62,3.88
Andhra Pradesh,SPSR NELLORE,Jowar,2011,Kharif     ,14,30,2.14
Andhra Pradesh,SPSR NELLORE,Jowar,2011,Rabi       ,484,2253,4.65
Andhra Pradesh,SPSR NELLORE,Jowar,2012,Rabi       ,3000,12000,4
Andhra Pradesh,SPSR NELLORE,Jowar,2013,Kharif     ,8,14,1.75
Andhra Pradesh,SPSR NELLORE,Jowar,2013,Rabi       ,1198,5524,4.61
Andhra Pradesh,SPSR NELLORE,Jowar,2014,Kharif     ,6,9,1.5
Andhra Pradesh,SPSR NELLORE,Jowar,2014,Rabi       ,2346,4251,1.81
Andhra Pradesh,SPSR NELLORE,Jowar,2015,Kharif     ,1,1,1
Andhra Pradesh,SPSR NELLORE,Jowar,2015,Rabi       ,1050,2610,2.49
Andhra Pradesh,SPSR NELLORE,Jowar,2016,Kharif     ,4,6,1.5
Andhra Pradesh,SPSR NELLORE,Jowar,2016,Rabi       ,1565,3618,2.31
Andhra Pradesh,SPSR NELLORE,Jowar,2017,Kharif     ,10,10,1
Andhra Pradesh,SPSR NELLORE,Jowar,2017,Rabi       ,648,2754,4.25
Andhra Pradesh,SPSR NELLORE,Jowar,2018,Kharif     ,2,,0
Andhra Pradesh,SPSR NELLORE,Jowar,2018,Rabi       ,2168,1867,0.86
Andhra Pradesh,SPSR NELLORE,Jowar,2019,Kharif     ,26,39,1.5
Andhra Pradesh,SPSR NELLORE,Jowar,2019,Rabi       ,951,1372,1.44
Andhra Pradesh,SRIKAKULAM,Jowar,1997,Kharif     ,300,200,0.67
Andhra Pradesh,SRIKAKULAM,Jowar,1997,Rabi       ,400,200,0.5
Andhra Pradesh,SRIKAKULAM,Jowar,1998,Kharif     ,300,100,0.33
Andhra Pradesh,SRIKAKULAM,Jowar,1998,Rabi       ,300,100,0.33
Andhra Pradesh,SRIKAKULAM,Jowar,1999,Kharif     ,344,88,0.26
Andhra Pradesh,SRIKAKULAM,Jowar,1999,Rabi       ,170,77,0.45
Andhra Pradesh,SRIKAKULAM,Jowar,2000,Kharif     ,376,139,0.37
Andhra Pradesh,SRIKAKULAM,Jowar,2000,Rabi       ,63,51,0.81
Andhra Pradesh,SRIKAKULAM,Jowar,2001,Kharif     ,184,105,0.57
Andhra Pradesh,SRIKAKULAM,Jowar,2001,Rabi       ,109,80,0.73
Andhra Pradesh,SRIKAKULAM,Jowar,2002,Kharif     ,318,106,0.33
Andhra Pradesh,SRIKAKULAM,Jowar,2002,Rabi       ,40,32,0.8
Andhra Pradesh,SRIKAKULAM,Jowar,2003,Kharif     ,376,1112,2.96
Andhra Pradesh,SRIKAKULAM,Jowar,2003,Rabi       ,27,51,1.89
Andhra Pradesh,SRIKAKULAM,Jowar,2004,Kharif     ,313,167,0.53
Andhra Pradesh,SRIKAKULAM,Jowar,2004,Rabi       ,15,28,1.87
Andhra Pradesh,SRIKAKULAM,Jowar,2005,Kharif     ,345,191,0.55
Andhra Pradesh,SRIKAKULAM,Jowar,2005,Rabi       ,18,53,2.94
Andhra Pradesh,SRIKAKULAM,Jowar,2006,Kharif     ,295,219,0.74
Andhra Pradesh,SRIKAKULAM,Jowar,2006,Rabi       ,36,78,2.17
Andhra Pradesh,SRIKAKULAM,Jowar,2008,Kharif     ,223,570,2.56
Andhra Pradesh,SRIKAKULAM,Jowar,2009,Kharif     ,185,218,1.18
Andhra Pradesh,SRIKAKULAM,Jowar,2010,Kharif     ,135,195,1.44
Andhra Pradesh,SRIKAKULAM,Jowar,2010,Rabi       ,6,23,3.83
Andhra Pradesh,SRIKAKULAM,Jowar,2011,Kharif     ,145,312,2.15
Andhra Pradesh,SRIKAKULAM,Jowar,2011,Rabi       ,6,28,4.67
Andhra Pradesh,SRIKAKULAM,Jowar,2013,Kharif     ,39,68,1.74
Andhra Pradesh,SRIKAKULAM,Jowar,2013,Rabi       ,21,97,4.62
Andhra Pradesh,SRIKAKULAM,Jowar,2014,Kharif     ,44,65,1.48
Andhra Pradesh,SRIKAKULAM,Jowar,2015,Kharif     ,47,52,1.11
Andhra Pradesh,SRIKAKULAM,Jowar,2016,Kharif     ,17,24,1.41
